text,intent,entities
I'm getting error ERR_TIMEOUT when trying to update payment info thanks,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_TIMEOUT'}"
Can you check where order YN26357 is??,order_status,{'order_id': 'YN26357'}
How do I reset my password??,account_help,{}
"Hi, The Instant Pot arrived damaged, I need a refund",refund_request,{'product': 'Instant Pot'}
The website won't let me login...,technical_support,{'action': 'login'}
The app crashes when I add to cart...,technical_support,{'action': 'add to cart'}
"Hey, I want to return my PlayStation 5",refund_request,{'product': 'PlayStation 5'}
How do I reset my password? please,account_help,{}
"Hi, When will AirPods be back in stock?",product_inquiry,{'product': 'AirPods'}
"Hi, What's the status of order #EX28978?",order_status,{'order_id': 'EX28978'}
Can you tell me The app crashes when I update payment info,technical_support,{'action': 'update payment info'}
The app crashes when I view my orders thank you,technical_support,{'action': 'view my orders'}
The website won't let me checkout please,technical_support,{'action': 'checkout'}
How do I reset my password? thanks,account_help,{}
Can you tell me I'm getting error 500 when trying to add to cart,technical_support,"{'action': 'add to cart', 'error_code': '500'}"
Can you tell me Can you check where order VO77465 is?,order_status,{'order_id': 'VO77465'}
"Hello, The website won't let me checkout",technical_support,{'action': 'checkout'}
"Hi, I can't login to my account",account_help,{}
The app crashes when I checkout...,technical_support,{'action': 'checkout'}
Do you have Samsung Galaxy in silver? please,product_inquiry,"{'product': 'Samsung Galaxy', 'color': 'silver'}"
My password isn't working please,account_help,{}
"Hello, The app crashes when I view my orders",technical_support,{'action': 'view my orders'}
Do you have Samsung Galaxy in black?...,product_inquiry,"{'product': 'Samsung Galaxy', 'color': 'black'}"
How do I reset my password? please,account_help,{}
I was wondering Can you check where order WI87129 is?,order_status,{'order_id': 'WI87129'}
"I was wondering The Samsung Galaxy arrived damaged, I need a refund",refund_request,{'product': 'Samsung Galaxy'}
I was wondering What's the status of order #ZH49729?,order_status,{'order_id': 'ZH49729'}
I can't login to my account?,account_help,{}
My password isn't working thanks,account_help,{}
Can you tell me I want to return my Dyson vacuum,refund_request,{'product': 'Dyson vacuum'}
"Hey, What's the status of order #OV71747?",order_status,{'order_id': 'OV71747'}
When will Instant Pot be back in stock?...,product_inquiry,{'product': 'Instant Pot'}
"The Kindle arrived damaged, I need a refund thanks",refund_request,{'product': 'Kindle'}
"Hello, Do you have MacBook Pro in red?",product_inquiry,"{'product': 'MacBook Pro', 'color': 'red'}"
Can you tell me How do I return AirPods?,refund_request,{'product': 'AirPods'}
Can you check where order IH63675 is??,order_status,{'order_id': 'IH63675'}
Can you tell me Has order #DR25505 shipped yet?,order_status,{'order_id': 'DR25505'}
The website won't let me update payment info...,technical_support,{'action': 'update payment info'}
I can't login to my account?,account_help,{}
"Hey, What are the specs for the Nike Air Force?",product_inquiry,{'product': 'Nike Air Force'}
I can't login to my account...,account_help,{}
"Hi, The iPhone arrived damaged, I need a refund",refund_request,{'product': 'iPhone'}
"Hi, What's the status of order #LN07482?",order_status,{'order_id': 'LN07482'}
"Hey, The app crashes when I login",technical_support,{'action': 'login'}
Can you check where order JI44813 is? thank you,order_status,{'order_id': 'JI44813'}
"Hi, What are the specs for the AirPods?",product_inquiry,{'product': 'AirPods'}
Has order #RN10825 shipped yet? please,order_status,{'order_id': 'RN10825'}
How do I reset my password? thanks,account_help,{}
"Hey, Do you have Dyson vacuum in black?",product_inquiry,"{'product': 'Dyson vacuum', 'color': 'black'}"
I was wondering How do I return iPhone?,refund_request,{'product': 'iPhone'}
How do I return Fitbit? thank you,refund_request,{'product': 'Fitbit'}
How do I reset my password? thanks,account_help,{}
I was wondering I can't login to my account,account_help,{}
How do I reset my password??,account_help,{}
"Hey, When will Dyson vacuum be back in stock?",product_inquiry,{'product': 'Dyson vacuum'}
Can you tell me How do I reset my password?,account_help,{}
I was wondering I'm getting error 500 when trying to add to cart,technical_support,"{'action': 'add to cart', 'error_code': '500'}"
The website won't let me login please,technical_support,{'action': 'login'}
"The iPhone arrived damaged, I need a refund?",refund_request,{'product': 'iPhone'}
What's the status of order #UW71688??,order_status,{'order_id': 'UW71688'}
What are the specs for the Kindle? thank you,product_inquiry,{'product': 'Kindle'}
What are the specs for the Instant Pot? please,product_inquiry,{'product': 'Instant Pot'}
Do you have Nike Air Force in white? thank you,product_inquiry,"{'product': 'Nike Air Force', 'color': 'white'}"
"Hi, My password isn't working",account_help,{}
The app crashes when I login thanks,technical_support,{'action': 'login'}
Do you have Dyson vacuum in space gray? thank you,product_inquiry,"{'product': 'Dyson vacuum', 'color': 'space gray'}"
"Hi, When will Dyson vacuum be back in stock?",product_inquiry,{'product': 'Dyson vacuum'}
The app crashes when I view my orders thank you,technical_support,{'action': 'view my orders'}
The website won't let me view my orders...,technical_support,{'action': 'view my orders'}
What are the specs for the Dyson vacuum? please,product_inquiry,{'product': 'Dyson vacuum'}
I was wondering What's the status of order #SN53831?,order_status,{'order_id': 'SN53831'}
"Hey, Has order #HA79896 shipped yet?",order_status,{'order_id': 'HA79896'}
"Hello, How do I return Nike Air Force?",refund_request,{'product': 'Nike Air Force'}
I can't login to my account please,account_help,{}
"Hi, Has order #KO49352 shipped yet?",order_status,{'order_id': 'KO49352'}
I was wondering Has order #GI74727 shipped yet?,order_status,{'order_id': 'GI74727'}
Can you check where order SH85820 is?...,order_status,{'order_id': 'SH85820'}
The app crashes when I add to cart?,technical_support,{'action': 'add to cart'}
Has order #RV92622 shipped yet??,order_status,{'order_id': 'RV92622'}
"Hey, Has order #QJ81492 shipped yet?",order_status,{'order_id': 'QJ81492'}
"Hello, What are the specs for the AirPods?",product_inquiry,{'product': 'AirPods'}
Can you tell me I want to return my AirPods,refund_request,{'product': 'AirPods'}
When will Samsung Galaxy be back in stock? thank you,product_inquiry,{'product': 'Samsung Galaxy'}
"Hello, My password isn't working",account_help,{}
I want to return my iPhone...,refund_request,{'product': 'iPhone'}
The website won't let me login thank you,technical_support,{'action': 'login'}
Can you check where order HH13828 is? please,order_status,{'order_id': 'HH13828'}
"Hi, How do I return MacBook Pro?",refund_request,{'product': 'MacBook Pro'}
"I was wondering The Fitbit arrived damaged, I need a refund",refund_request,{'product': 'Fitbit'}
"Hi, What's the status of order #PU85312?",order_status,{'order_id': 'PU85312'}
"Hey, The PlayStation 5 arrived damaged, I need a refund",refund_request,{'product': 'PlayStation 5'}
Can you tell me I want to return my Fitbit,refund_request,{'product': 'Fitbit'}
"Hey, When will Nike Air Force be back in stock?",product_inquiry,{'product': 'Nike Air Force'}
"Hi, The Fitbit arrived damaged, I need a refund",refund_request,{'product': 'Fitbit'}
Can you check where order PY10151 is??,order_status,{'order_id': 'PY10151'}
"Hello, How do I reset my password?",account_help,{}
"I was wondering The Dyson vacuum arrived damaged, I need a refund",refund_request,{'product': 'Dyson vacuum'}
"Hey, I'm getting error 404 when trying to login",technical_support,"{'action': 'login', 'error_code': '404'}"
The website won't let me view my orders...,technical_support,{'action': 'view my orders'}
Has order #XO21713 shipped yet? please,order_status,{'order_id': 'XO21713'}
"Hi, When will AirPods be back in stock?",product_inquiry,{'product': 'AirPods'}
Can you check where order ZD10251 is? thanks,order_status,{'order_id': 'ZD10251'}
Can you check where order CJ81408 is? thank you,order_status,{'order_id': 'CJ81408'}
I was wondering What's the status of order #YM19473?,order_status,{'order_id': 'YM19473'}
How do I reset my password??,account_help,{}
"Hey, My password isn't working",account_help,{}
"I was wondering The Samsung Galaxy arrived damaged, I need a refund",refund_request,{'product': 'Samsung Galaxy'}
"Hi, I can't login to my account",account_help,{}
"Hey, I want to return my AirPods",refund_request,{'product': 'AirPods'}
My password isn't working...,account_help,{}
I was wondering I want to return my Samsung Galaxy,refund_request,{'product': 'Samsung Galaxy'}
The website won't let me login thank you,technical_support,{'action': 'login'}
"Hi, How do I reset my password?",account_help,{}
"Hi, The Kindle arrived damaged, I need a refund",refund_request,{'product': 'Kindle'}
Has order #RA96974 shipped yet? thank you,order_status,{'order_id': 'RA96974'}
I want to return my Dyson vacuum?,refund_request,{'product': 'Dyson vacuum'}
What are the specs for the AirPods? thanks,product_inquiry,{'product': 'AirPods'}
"Hey, Has order #YG14103 shipped yet?",order_status,{'order_id': 'YG14103'}
I was wondering I can't login to my account,account_help,{}
"Hey, I can't login to my account",account_help,{}
Do you have Instant Pot in space gray?...,product_inquiry,"{'product': 'Instant Pot', 'color': 'space gray'}"
Has order #XF93392 shipped yet? thank you,order_status,{'order_id': 'XF93392'}
How do I reset my password? thank you,account_help,{}
I was wondering What's the status of order #JM77260?,order_status,{'order_id': 'JM77260'}
Can you tell me How do I return Kindle?,refund_request,{'product': 'Kindle'}
"The Nike Air Force arrived damaged, I need a refund?",refund_request,{'product': 'Nike Air Force'}
The website won't let me add to cart?,technical_support,{'action': 'add to cart'}
How do I reset my password? thank you,account_help,{}
"Hello, What are the specs for the Instant Pot?",product_inquiry,{'product': 'Instant Pot'}
"Hey, The Fitbit arrived damaged, I need a refund",refund_request,{'product': 'Fitbit'}
I'm getting error ERR_CONNECTION_REFUSED when trying to update payment info thanks,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_CONNECTION_REFUSED'}"
"Hi, My password isn't working",account_help,{}
I was wondering When will iPhone be back in stock?,product_inquiry,{'product': 'iPhone'}
"Hi, I can't login to my account",account_help,{}
I was wondering What are the specs for the Fitbit?,product_inquiry,{'product': 'Fitbit'}
I was wondering When will Nike Air Force be back in stock?,product_inquiry,{'product': 'Nike Air Force'}
The app crashes when I view my orders?,technical_support,{'action': 'view my orders'}
Can you tell me How do I return Fitbit?,refund_request,{'product': 'Fitbit'}
What are the specs for the iPhone??,product_inquiry,{'product': 'iPhone'}
"Hello, When will Samsung Galaxy be back in stock?",product_inquiry,{'product': 'Samsung Galaxy'}
"Hello, I'm getting error 404 when trying to add to cart",technical_support,"{'action': 'add to cart', 'error_code': '404'}"
"Hey, Has order #DX07819 shipped yet?",order_status,{'order_id': 'DX07819'}
I want to return my AirPods?,refund_request,{'product': 'AirPods'}
How do I reset my password?...,account_help,{}
How do I return AirPods? thanks,refund_request,{'product': 'AirPods'}
"Hey, I can't login to my account",account_help,{}
"Hi, How do I reset my password?",account_help,{}
Do you have PlayStation 5 in silver? please,product_inquiry,"{'product': 'PlayStation 5', 'color': 'silver'}"
Has order #TE52663 shipped yet?...,order_status,{'order_id': 'TE52663'}
"Hi, What are the specs for the Dyson vacuum?",product_inquiry,{'product': 'Dyson vacuum'}
How do I return iPhone?...,refund_request,{'product': 'iPhone'}
"The MacBook Pro arrived damaged, I need a refund?",refund_request,{'product': 'MacBook Pro'}
Do you have Instant Pot in red?...,product_inquiry,"{'product': 'Instant Pot', 'color': 'red'}"
My password isn't working...,account_help,{}
"Hi, What's the status of order #IM52651?",order_status,{'order_id': 'IM52651'}
Can you tell me I want to return my Dyson vacuum,refund_request,{'product': 'Dyson vacuum'}
I can't login to my account thanks,account_help,{}
Can you tell me What's the status of order #OE77399?,order_status,{'order_id': 'OE77399'}
Can you check where order WS80524 is?...,order_status,{'order_id': 'WS80524'}
"Hi, When will Fitbit be back in stock?",product_inquiry,{'product': 'Fitbit'}
"Hi, I want to return my iPhone",refund_request,{'product': 'iPhone'}
I'm getting error ERR_CONNECTION_REFUSED when trying to view my orders...,technical_support,"{'action': 'view my orders', 'error_code': 'ERR_CONNECTION_REFUSED'}"
What are the specs for the Fitbit? thank you,product_inquiry,{'product': 'Fitbit'}
"Hey, Do you have Samsung Galaxy in silver?",product_inquiry,"{'product': 'Samsung Galaxy', 'color': 'silver'}"
Do you have Instant Pot in black? thank you,product_inquiry,"{'product': 'Instant Pot', 'color': 'black'}"
Can you tell me How do I return Nike Air Force?,refund_request,{'product': 'Nike Air Force'}
"Hello, Do you have MacBook Pro in blue?",product_inquiry,"{'product': 'MacBook Pro', 'color': 'blue'}"
The app crashes when I checkout thanks,technical_support,{'action': 'checkout'}
What are the specs for the Kindle? please,product_inquiry,{'product': 'Kindle'}
I'm getting error 404 when trying to login...,technical_support,"{'action': 'login', 'error_code': '404'}"
"Hello, My password isn't working",account_help,{}
"Can you tell me The PlayStation 5 arrived damaged, I need a refund",refund_request,{'product': 'PlayStation 5'}
Can you tell me What's the status of order #DA12832?,order_status,{'order_id': 'DA12832'}
"Hello, When will AirPods be back in stock?",product_inquiry,{'product': 'AirPods'}
"The iPhone arrived damaged, I need a refund...",refund_request,{'product': 'iPhone'}
What are the specs for the MacBook Pro? thank you,product_inquiry,{'product': 'MacBook Pro'}
I was wondering How do I reset my password?,account_help,{}
"Hey, Can you check where order TB33459 is?",order_status,{'order_id': 'TB33459'}
I want to return my PlayStation 5?,refund_request,{'product': 'PlayStation 5'}
Can you tell me What are the specs for the Kindle?,product_inquiry,{'product': 'Kindle'}
Has order #ZM48848 shipped yet??,order_status,{'order_id': 'ZM48848'}
I want to return my Dyson vacuum?,refund_request,{'product': 'Dyson vacuum'}
"Hello, Has order #PI03623 shipped yet?",order_status,{'order_id': 'PI03623'}
"Hello, My password isn't working",account_help,{}
I was wondering I want to return my Samsung Galaxy,refund_request,{'product': 'Samsung Galaxy'}
"Hi, How do I return Nike Air Force?",refund_request,{'product': 'Nike Air Force'}
"Hello, How do I reset my password?",account_help,{}
"Hi, I can't login to my account",account_help,{}
"Hi, What are the specs for the Dyson vacuum?",product_inquiry,{'product': 'Dyson vacuum'}
"Hello, How do I return MacBook Pro?",refund_request,{'product': 'MacBook Pro'}
How do I return Kindle? thank you,refund_request,{'product': 'Kindle'}
My password isn't working thanks,account_help,{}
"The Nike Air Force arrived damaged, I need a refund?",refund_request,{'product': 'Nike Air Force'}
What are the specs for the PlayStation 5??,product_inquiry,{'product': 'PlayStation 5'}
"Hey, My password isn't working",account_help,{}
I was wondering My password isn't working,account_help,{}
I can't login to my account thank you,account_help,{}
"Hi, I'm getting error 404 when trying to update payment info",technical_support,"{'action': 'update payment info', 'error_code': '404'}"
"Hi, What's the status of order #LD53233?",order_status,{'order_id': 'LD53233'}
The website won't let me view my orders please,technical_support,{'action': 'view my orders'}
"Hello, The website won't let me login",technical_support,{'action': 'login'}
My password isn't working thanks,account_help,{}
Can you tell me I can't login to my account,account_help,{}
Do you have Instant Pot in red? thanks,product_inquiry,"{'product': 'Instant Pot', 'color': 'red'}"
"Hey, How do I return Nike Air Force?",refund_request,{'product': 'Nike Air Force'}
The website won't let me checkout please,technical_support,{'action': 'checkout'}
"Hey, The Fitbit arrived damaged, I need a refund",refund_request,{'product': 'Fitbit'}
"Hello, Do you have Dyson vacuum in red?",product_inquiry,"{'product': 'Dyson vacuum', 'color': 'red'}"
"Hello, What's the status of order #WY78329?",order_status,{'order_id': 'WY78329'}
Has order #PQ01660 shipped yet? please,order_status,{'order_id': 'PQ01660'}
"Hi, The website won't let me login",technical_support,{'action': 'login'}
My password isn't working thank you,account_help,{}
I'm getting error 500 when trying to checkout?,technical_support,"{'action': 'checkout', 'error_code': '500'}"
How do I return Nike Air Force? please,refund_request,{'product': 'Nike Air Force'}
I was wondering My password isn't working,account_help,{}
Has order #RL46398 shipped yet? thank you,order_status,{'order_id': 'RL46398'}
I can't login to my account thanks,account_help,{}
"Hi, My password isn't working",account_help,{}
"Hello, How do I return Instant Pot?",refund_request,{'product': 'Instant Pot'}
How do I reset my password??,account_help,{}
Has order #OX47910 shipped yet? thank you,order_status,{'order_id': 'OX47910'}
How do I reset my password? thank you,account_help,{}
"Hi, I'm getting error ERR_CONNECTION_REFUSED when trying to login",technical_support,"{'action': 'login', 'error_code': 'ERR_CONNECTION_REFUSED'}"
The website won't let me checkout...,technical_support,{'action': 'checkout'}
How do I reset my password?...,account_help,{}
I was wondering What's the status of order #JV69463?,order_status,{'order_id': 'JV69463'}
Can you check where order NZ17869 is? thank you,order_status,{'order_id': 'NZ17869'}
I'm getting error ERR_TIMEOUT when trying to update payment info thank you,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_TIMEOUT'}"
I can't login to my account thanks,account_help,{}
"Hey, How do I reset my password?",account_help,{}
How do I reset my password?...,account_help,{}
I'm getting error 404 when trying to view my orders...,technical_support,"{'action': 'view my orders', 'error_code': '404'}"
"Hello, Has order #PB25839 shipped yet?",order_status,{'order_id': 'PB25839'}
When will iPhone be back in stock? please,product_inquiry,{'product': 'iPhone'}
"Hello, What's the status of order #WO15098?",order_status,{'order_id': 'WO15098'}
My password isn't working please,account_help,{}
"Hello, Has order #KE66555 shipped yet?",order_status,{'order_id': 'KE66555'}
How do I reset my password? thank you,account_help,{}
I'm getting error 500 when trying to update payment info please,technical_support,"{'action': 'update payment info', 'error_code': '500'}"
How do I reset my password? thank you,account_help,{}
My password isn't working...,account_help,{}
"Hi, Can you check where order BY21586 is?",order_status,{'order_id': 'BY21586'}
Has order #TO94394 shipped yet??,order_status,{'order_id': 'TO94394'}
I was wondering The website won't let me login,technical_support,{'action': 'login'}
When will Dyson vacuum be back in stock? thanks,product_inquiry,{'product': 'Dyson vacuum'}
"Hey, How do I reset my password?",account_help,{}
Can you check where order RC98728 is?...,order_status,{'order_id': 'RC98728'}
I can't login to my account...,account_help,{}
How do I return Nike Air Force? thanks,refund_request,{'product': 'Nike Air Force'}
"Hey, The app crashes when I view my orders",technical_support,{'action': 'view my orders'}
"Hello, The website won't let me add to cart",technical_support,{'action': 'add to cart'}
Has order #JC58516 shipped yet? thanks,order_status,{'order_id': 'JC58516'}
When will PlayStation 5 be back in stock? please,product_inquiry,{'product': 'PlayStation 5'}
How do I return Kindle??,refund_request,{'product': 'Kindle'}
"Hello, What's the status of order #GE32288?",order_status,{'order_id': 'GE32288'}
I was wondering What's the status of order #OQ53267?,order_status,{'order_id': 'OQ53267'}
Can you tell me When will AirPods be back in stock?,product_inquiry,{'product': 'AirPods'}
"Hello, I want to return my iPhone",refund_request,{'product': 'iPhone'}
How do I reset my password? thank you,account_help,{}
Can you check where order TE08629 is? please,order_status,{'order_id': 'TE08629'}
"Hello, How do I reset my password?",account_help,{}
The app crashes when I update payment info thank you,technical_support,{'action': 'update payment info'}
Can you check where order PU20974 is?...,order_status,{'order_id': 'PU20974'}
"Hey, When will Fitbit be back in stock?",product_inquiry,{'product': 'Fitbit'}
"Hi, Has order #RD11632 shipped yet?",order_status,{'order_id': 'RD11632'}
"The Fitbit arrived damaged, I need a refund please",refund_request,{'product': 'Fitbit'}
Can you tell me How do I return PlayStation 5?,refund_request,{'product': 'PlayStation 5'}
What are the specs for the Samsung Galaxy? thank you,product_inquiry,{'product': 'Samsung Galaxy'}
I want to return my Nike Air Force thank you,refund_request,{'product': 'Nike Air Force'}
"Hey, I can't login to my account",account_help,{}
I was wondering The app crashes when I view my orders,technical_support,{'action': 'view my orders'}
Do you have iPhone in blue??,product_inquiry,"{'product': 'iPhone', 'color': 'blue'}"
How do I return Fitbit? please,refund_request,{'product': 'Fitbit'}
"Hi, The app crashes when I view my orders",technical_support,{'action': 'view my orders'}
"The MacBook Pro arrived damaged, I need a refund thanks",refund_request,{'product': 'MacBook Pro'}
My password isn't working...,account_help,{}
Has order #XB33286 shipped yet?...,order_status,{'order_id': 'XB33286'}
Can you check where order MO99352 is? thank you,order_status,{'order_id': 'MO99352'}
Can you tell me How do I return AirPods?,refund_request,{'product': 'AirPods'}
I can't login to my account please,account_help,{}
I'm getting error ERR_CONNECTION_REFUSED when trying to update payment info...,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_CONNECTION_REFUSED'}"
"The Fitbit arrived damaged, I need a refund thank you",refund_request,{'product': 'Fitbit'}
I'm getting error 404 when trying to view my orders thanks,technical_support,"{'action': 'view my orders', 'error_code': '404'}"
"Hey, The app crashes when I add to cart",technical_support,{'action': 'add to cart'}
What are the specs for the MacBook Pro? please,product_inquiry,{'product': 'MacBook Pro'}
"Hey, Can you check where order CS07407 is?",order_status,{'order_id': 'CS07407'}
I can't login to my account please,account_help,{}
Can you check where order QZ22352 is?...,order_status,{'order_id': 'QZ22352'}
My password isn't working...,account_help,{}
The app crashes when I view my orders...,technical_support,{'action': 'view my orders'}
I can't login to my account?,account_help,{}
"Hey, My password isn't working",account_help,{}
"Hey, I'm getting error 404 when trying to checkout",technical_support,"{'action': 'checkout', 'error_code': '404'}"
Can you tell me Can you check where order KR43674 is?,order_status,{'order_id': 'KR43674'}
The app crashes when I view my orders?,technical_support,{'action': 'view my orders'}
Can you tell me I can't login to my account,account_help,{}
"Hey, What's the status of order #EQ12417?",order_status,{'order_id': 'EQ12417'}
The app crashes when I checkout thank you,technical_support,{'action': 'checkout'}
"Hi, How do I reset my password?",account_help,{}
I can't login to my account thanks,account_help,{}
"Hey, My password isn't working",account_help,{}
"Hi, How do I reset my password?",account_help,{}
"Hi, Has order #KM41828 shipped yet?",order_status,{'order_id': 'KM41828'}
"Hey, The website won't let me login",technical_support,{'action': 'login'}
Can you tell me Has order #WX10498 shipped yet?,order_status,{'order_id': 'WX10498'}
Do you have AirPods in space gray? please,product_inquiry,"{'product': 'AirPods', 'color': 'space gray'}"
Can you tell me My password isn't working,account_help,{}
When will AirPods be back in stock? please,product_inquiry,{'product': 'AirPods'}
I'm getting error ERR_TIMEOUT when trying to login thank you,technical_support,"{'action': 'login', 'error_code': 'ERR_TIMEOUT'}"
The website won't let me view my orders...,technical_support,{'action': 'view my orders'}
"Hello, Has order #RL38878 shipped yet?",order_status,{'order_id': 'RL38878'}
"Hello, Do you have Instant Pot in white?",product_inquiry,"{'product': 'Instant Pot', 'color': 'white'}"
"Hey, When will Dyson vacuum be back in stock?",product_inquiry,{'product': 'Dyson vacuum'}
"Hey, I can't login to my account",account_help,{}
Do you have PlayStation 5 in red? please,product_inquiry,"{'product': 'PlayStation 5', 'color': 'red'}"
Can you tell me Has order #SL34655 shipped yet?,order_status,{'order_id': 'SL34655'}
"Can you tell me The Instant Pot arrived damaged, I need a refund",refund_request,{'product': 'Instant Pot'}
How do I return Fitbit? please,refund_request,{'product': 'Fitbit'}
I was wondering When will Samsung Galaxy be back in stock?,product_inquiry,{'product': 'Samsung Galaxy'}
"Hi, Do you have Fitbit in silver?",product_inquiry,"{'product': 'Fitbit', 'color': 'silver'}"
Can you tell me I can't login to my account,account_help,{}
I'm getting error ERR_TIMEOUT when trying to view my orders...,technical_support,"{'action': 'view my orders', 'error_code': 'ERR_TIMEOUT'}"
I was wondering What's the status of order #QQ71610?,order_status,{'order_id': 'QQ71610'}
My password isn't working please,account_help,{}
Can you check where order QP48008 is? please,order_status,{'order_id': 'QP48008'}
Can you tell me Do you have AirPods in white?,product_inquiry,"{'product': 'AirPods', 'color': 'white'}"
Has order #QJ95548 shipped yet??,order_status,{'order_id': 'QJ95548'}
I can't login to my account thanks,account_help,{}
Has order #SV17927 shipped yet? please,order_status,{'order_id': 'SV17927'}
Can you tell me My password isn't working,account_help,{}
"Hey, The app crashes when I view my orders",technical_support,{'action': 'view my orders'}
When will Kindle be back in stock? please,product_inquiry,{'product': 'Kindle'}
How do I reset my password? thank you,account_help,{}
I'm getting error ERR_CONNECTION_REFUSED when trying to view my orders please,technical_support,"{'action': 'view my orders', 'error_code': 'ERR_CONNECTION_REFUSED'}"
The app crashes when I view my orders thanks,technical_support,{'action': 'view my orders'}
I was wondering Has order #XP12472 shipped yet?,order_status,{'order_id': 'XP12472'}
Can you check where order TJ05035 is??,order_status,{'order_id': 'TJ05035'}
"Hi, How do I return Samsung Galaxy?",refund_request,{'product': 'Samsung Galaxy'}
What's the status of order #PW92559? thank you,order_status,{'order_id': 'PW92559'}
I was wondering What's the status of order #BG70537?,order_status,{'order_id': 'BG70537'}
Can you tell me How do I return Samsung Galaxy?,refund_request,{'product': 'Samsung Galaxy'}
I'm getting error 500 when trying to add to cart?,technical_support,"{'action': 'add to cart', 'error_code': '500'}"
How do I return Nike Air Force??,refund_request,{'product': 'Nike Air Force'}
Do you have Kindle in blue??,product_inquiry,"{'product': 'Kindle', 'color': 'blue'}"
What's the status of order #DB01673?...,order_status,{'order_id': 'DB01673'}
"Hey, How do I reset my password?",account_help,{}
I was wondering Can you check where order PW29388 is?,order_status,{'order_id': 'PW29388'}
Has order #RO27927 shipped yet? thank you,order_status,{'order_id': 'RO27927'}
"Hi, I want to return my MacBook Pro",refund_request,{'product': 'MacBook Pro'}
I was wondering What's the status of order #IS98551?,order_status,{'order_id': 'IS98551'}
Can you tell me My password isn't working,account_help,{}
I can't login to my account?,account_help,{}
"Hi, What are the specs for the Dyson vacuum?",product_inquiry,{'product': 'Dyson vacuum'}
"Hi, How do I reset my password?",account_help,{}
What are the specs for the MacBook Pro?...,product_inquiry,{'product': 'MacBook Pro'}
The website won't let me view my orders...,technical_support,{'action': 'view my orders'}
"Hi, The app crashes when I add to cart",technical_support,{'action': 'add to cart'}
I was wondering Has order #TF02142 shipped yet?,order_status,{'order_id': 'TF02142'}
"Hi, I can't login to my account",account_help,{}
"Hey, My password isn't working",account_help,{}
"Hello, How do I reset my password?",account_help,{}
"Hello, Can you check where order YJ00958 is?",order_status,{'order_id': 'YJ00958'}
Can you check where order YJ42843 is?...,order_status,{'order_id': 'YJ42843'}
Can you check where order BH44398 is? thank you,order_status,{'order_id': 'BH44398'}
Can you tell me My password isn't working,account_help,{}
The app crashes when I login...,technical_support,{'action': 'login'}
I want to return my Kindle?,refund_request,{'product': 'Kindle'}
"The Kindle arrived damaged, I need a refund?",refund_request,{'product': 'Kindle'}
"Hi, Can you check where order DZ48794 is?",order_status,{'order_id': 'DZ48794'}
I want to return my iPhone thanks,refund_request,{'product': 'iPhone'}
"Hi, How do I reset my password?",account_help,{}
"Hi, The app crashes when I checkout",technical_support,{'action': 'checkout'}
"Hey, When will Nike Air Force be back in stock?",product_inquiry,{'product': 'Nike Air Force'}
"Hey, Can you check where order BI03021 is?",order_status,{'order_id': 'BI03021'}
"Hey, I'm getting error ERR_TIMEOUT when trying to checkout",technical_support,"{'action': 'checkout', 'error_code': 'ERR_TIMEOUT'}"
"Hi, What's the status of order #BW23273?",order_status,{'order_id': 'BW23273'}
I'm getting error 404 when trying to update payment info please,technical_support,"{'action': 'update payment info', 'error_code': '404'}"
"The MacBook Pro arrived damaged, I need a refund...",refund_request,{'product': 'MacBook Pro'}
The app crashes when I login thank you,technical_support,{'action': 'login'}
I want to return my Kindle...,refund_request,{'product': 'Kindle'}
I was wondering Do you have PlayStation 5 in space gray?,product_inquiry,"{'product': 'PlayStation 5', 'color': 'space gray'}"
How do I return Samsung Galaxy? thanks,refund_request,{'product': 'Samsung Galaxy'}
"Hi, Has order #BZ52517 shipped yet?",order_status,{'order_id': 'BZ52517'}
"Hello, I'm getting error ERR_CONNECTION_REFUSED when trying to checkout",technical_support,"{'action': 'checkout', 'error_code': 'ERR_CONNECTION_REFUSED'}"
Can you tell me What's the status of order #CC10361?,order_status,{'order_id': 'CC10361'}
Has order #YV30339 shipped yet? thank you,order_status,{'order_id': 'YV30339'}
Has order #DN46132 shipped yet? please,order_status,{'order_id': 'DN46132'}
"Hey, Do you have iPhone in white?",product_inquiry,"{'product': 'iPhone', 'color': 'white'}"
Has order #JE45277 shipped yet?...,order_status,{'order_id': 'JE45277'}
Do you have PlayStation 5 in space gray??,product_inquiry,"{'product': 'PlayStation 5', 'color': 'space gray'}"
I'm getting error 404 when trying to login?,technical_support,"{'action': 'login', 'error_code': '404'}"
I was wondering Has order #OJ17352 shipped yet?,order_status,{'order_id': 'OJ17352'}
Has order #YI35541 shipped yet??,order_status,{'order_id': 'YI35541'}
Can you tell me The app crashes when I login,technical_support,{'action': 'login'}
When will iPhone be back in stock? please,product_inquiry,{'product': 'iPhone'}
"Hey, The website won't let me view my orders",technical_support,{'action': 'view my orders'}
Can you tell me I want to return my Fitbit,refund_request,{'product': 'Fitbit'}
"The Nike Air Force arrived damaged, I need a refund...",refund_request,{'product': 'Nike Air Force'}
"Hello, I can't login to my account",account_help,{}
What's the status of order #SV85089??,order_status,{'order_id': 'SV85089'}
